language_you_learn,your_language,id
あ,a,d2f8e533-7b3a-45ac-b0d2-350a651ba8f2
い,i,d6cb8deb-830c-485f-a1d2-0029beca0565
う,u,f62e4068-ebfc-4cae-91c7-4d4c163d1772
え,e,f9cfb229-92bb-4735-a26a-43c12e015475
お,o,fdba9a14-cfeb-4816-b772-edac8f958f7b
